source_id,destination_id,units_shipped,total_cost
S611909d,Db51b0fe,12303,1730.11
S611909d,D3d03c41,18046,2910.5
S611909d,Da7cec12,17889,5558.68
S611909d,D662583f,17136,2854.37
S611909d,Da7cec12,12986,269.22
S611909d,D48b24ce,10738,3087.83
S611909d,D662583f,16696,109.72
S611909d,D3d03c41,17548,8796.5
S611909d,D48b24ce,15357,1651.81
S611909d,Db51b0fe,16113,1460.24
S611909d,D48b24ce,19592,4066.53
S611909d,D662583f,18478,3262.69
S611909d,Da7cec12,19426,14.21
S611909d,D3d03c41,16573,1347.09
S611909d,D662583f,19690,916.99
S611909d,Db51b0fe,13097,2365.65
S611909d,D7c2a294,15294,373.02
S611909d,Da7cec12,18078,2905.71
S611909d,D7c2a294,16948,582.85
S611909d,Da7cec12,15779,642.71
S611909d,D7c2a294,10984,926.94
S611909d,D3d03c41,13800,1259.69
S611909d,D7c2a294,11852,52.03
S611909d,D7c2a294,19988,4085.35
S611909d,D7c2a294,17532,3934.01
S611909d,Db51b0fe,10328,-96.82
S611909d,D662583f,10947,2151.87
S611909d,Da7cec12,18760,576.53
S611909d,D662583f,17518,290.3
S611909d,Da7cec12,19693,408.27
S611909d,D7c2a294,15589,1939.12
S611909d,D3d03c41,15153,4565.33
S611909d,D3d03c41,19319,2343.05
S611909d,D662583f,11479,993.75
S611909d,D48b24ce,12395,2696.67
S611909d,D48b24ce,11509,317.2
S611909d,D662583f,15660,-53.69
S611909d,D48b24ce,18062,2845.87
S611909d,D48b24ce,13950,4011.48
S611909d,D48b24ce,17765,1555.52
S611909d,D7c2a294,14763,212.44
S611909d,D7c2a294,14526,1516.37
S611909d,Da7cec12,17408,-335.42
S611909d,D7c2a294,16443,565.48
S611909d,D48b24ce,16402,1108.14
S611909d,Da7cec12,15675,795.22
S611909d,D662583f,13023,85.58
S611909d,Db51b0fe,19023,1723.96
S611909d,D7c2a294,18423,1738.95
S611909d,Da7cec12,17206,-159.47
S611909d,Db51b0fe,17314,357.1
S611909d,Db51b0fe,16484,7592.94
S611909d,D48b24ce,16507,785.09
S611909d,D3d03c41,16717,4200.68
S611909d,D7c2a294,18207,990.28
S611909d,Db51b0fe,11871,7.42
S611909d,Db51b0fe,12986,9098.32
S611909d,D48b24ce,17058,3540.58
S611909d,Db51b0fe,12416,1994.32
S611909d,Db51b0fe,16619,3500.38
S611909d,Da7cec12,13263,142.33
S611909d,Da7cec12,16543,2989.84
S611909d,Db51b0fe,14004,7430.87
S611909d,D3d03c41,13889,4184.51
S611909d,D3d03c41,17020,2745.02
S611909d,D7c2a294,17398,76.38
S611909d,D7c2a294,15221,3111.02
S611909d,D48b24ce,17901,1925.45
S611909d,Da7cec12,13292,1338.93
S611909d,D7c2a294,11667,1217.92
S611909d,D662583f,18870,878.8
S611909d,D7c2a294,13097,319.44
S611909d,D48b24ce,15962,1876.51
S611909d,Da7cec12,10898,443.89
S611909d,D662583f,17629,115.85
S611909d,D662583f,16398,4207.26
S611909d,D48b24ce,18940,6393.4
S611909d,Db51b0fe,19667,3945.69
S611909d,D48b24ce,19298,3426.57
S611909d,Da7cec12,15461,1866.63
S611909d,D48b24ce,11419,999.86
S611909d,D48b24ce,19054,1287.31
S611909d,D7c2a294,18505,451.34
S611909d,Da7cec12,11634,-224.17
S611909d,D662583f,12624,209.2
S611909d,D7c2a294,18632,2690.28
S611909d,Da7cec12,16858,6249.8
S611909d,D7c2a294,15063,1271.17
S611909d,D7c2a294,15142,217.9
S611909d,D662583f,18979,504.3
S611909d,D48b24ce,12609,851.88
S611909d,D662583f,16704,1279.05
S611909d,D7c2a294,17934,1692.79
S611909d,Db51b0fe,16911,1701.67
